Designator,Comment,Footprint
~,"5V1,32XPD1,32XPD2,B_IN1,CDPD1,CDPD2,CLK_IN1,GND1,G_IN1,LPF1,M1PU1,PAL1,R_IN1,S_IN1","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm"
SMD_Conn_01x01,"32X_L1,32X_R1,CD_L1,CD_R1,FM_L1,FM_R1,P1",Connector_Wire:SolderWirePad_1x01_SMD_1x2mm
0.01u,C1,Capacitor_SMD:C_0402_1005Metric
10u,"C2,C3,C8,C9,C14,C15,C16,C17,C19,C20,C21,C22,C23,C32,C45,C48",Capacitor_SMD:C_0805_2012Metric
27p,"C4,C5,C6,C7",Capacitor_SMD:C_0402_1005Metric
0.1u,"C10,C11,C12,C13,C18,C27,C28,C29,C33,C46,C47",Capacitor_SMD:C_0402_1005Metric
220u,"C24,C25,C26,C36,C38,C41,C42,C43,C44",Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H
5600p,"C30,C31",Capacitor_SMD:C_0402_1005Metric
47u,"C34,C35",Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H
9p,C39,Capacitor_SMD:C_0402_1005Metric
18p,C40,Capacitor_SMD:C_0402_1005Metric
MD-90SM_MD2,CN1,MyLibrary:MD10SM-SS
1N4148W,D1,Diode_SMD:D_SOD-123
SolderJumper_2_Open,"FM_L1-1,FM_L1-2,FM_L2-1,FM_L2-2,FM_L3-1,FM_L3-2,FM_R1-1,FM_R1-2,FM_R2-1,FM_R2-2,FM_R3-1,FM_R3-2",Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm
SolderJumper_3_Open,PSGPD1,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm
100k,"R1,R2,R3,R4,R20,R23,R48,R49",Resistor_SMD:R_0402_1005Metric
2.2k,"R5,R8",Resistor_SMD:R_0402_1005Metric
5.62k,"R6,R9,R10,R11,R12,R13,R16,R32,R42",Resistor_SMD:R_0402_1005Metric
750,R7,Resistor_SMD:R_0402_1005Metric
1k,"R14,R15,R17",Resistor_SMD:R_0402_1005Metric
75,"R18,R25,R33,R34,R35,R36,R37,R43,R44,R46,R52,R54,R56,R57,R58,R59",Resistor_SMD:R_0402_1005Metric
10k,"R19,R22,R61,R62",Resistor_SMD:R_0402_1005Metric
130k,"R21,R24",Resistor_SMD:R_0402_1005Metric
210k,"R26,R27,R28,R29",Resistor_SMD:R_0402_1005Metric
300k,"R30,R31",Resistor_SMD:R_0402_1005Metric
21k,"R38,R41",Resistor_SMD:R_0402_1005Metric
30k,"R39,R40,R45,R47",Resistor_SMD:R_0402_1005Metric
330,"R50,R51",Resistor_SMD:R_0402_1005Metric
51k,R53,Resistor_SMD:R_0402_1005Metric
470,R60,Resistor_SMD:R_0402_1005Metric
ICS501,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
MC33204,"U2,U4",Package_SO:TSSOP-14_4.4x5mm_P0.65mm
THS7374,U3,Package_SO:TSSOP-14_4.4x5mm_P0.65mm
AD725,U5,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm
Conn_01x33_Pin,Z1,Connector_FFC-FPC:Molex_502244-3330_1x33-1MP_P0.5mm_Horizontal
