Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01u,C_0402_1005Metric,261.225,-135.275,180,top
C2,10u,C_0805_2012Metric,231,-141.75,90,top
C3,10u,C_0805_2012Metric,238.675,-141.775,90,top
C4,27p,C_0402_1005Metric,230.825,-138.775,-90,top
C5,27p,C_0402_1005Metric,240.325,-138.75,-90,top
C6,27p,C_0402_1005Metric,232.225,-134.62,90,top
C7,27p,C_0402_1005Metric,238.875,-134.6,90,top
C8,10u,C_0805_2012Metric,231.725,-131.825,90,top
C9,10u,C_0805_2012Metric,239.4,-131.825,90,top
C10,0.1u,C_0402_1005Metric,244.1,-117.85,90,top
C11,0.1u,C_0402_1005Metric,245.175,-117.85,90,top
C12,0.1u,C_0402_1005Metric,246.25,-117.85,90,top
C13,0.1u,C_0402_1005Metric,247.325,-117.85,90,top
C14,10u,C_0805_2012Metric,227.375,-138.575,90,top
C15,10u,C_0805_2012Metric,234.55,-138.475,90,top
C16,10u,C_0805_2012Metric,236.625,-138.5,90,top
C17,10u,C_0805_2012Metric,242.3,-139.05,90,top
C18,0.1u,C_0402_1005Metric,249.35,-109.625,-90,top
C19,10u,C_0805_2012Metric,224.075,-138.55,90,top
C20,10u,C_0805_2012Metric,233.025,-125.75,180,top
C21,10u,C_0805_2012Metric,236.55,-125.775,180,top
C22,10u,C_0805_2012Metric,244.4,-139.05,90,top
C23,10u,C_0805_2012Metric,248.6,-107.625,180,top
C24,220u,CP_EIA-3528-15_AVX-H,257.65,-126.025,0,top
C25,220u,CP_EIA-3528-15_AVX-H,258.75,-129.475,0,top
C26,220u,CP_EIA-3528-15_AVX-H,259.725,-133.1,0,top
C27,0.1u,C_0402_1005Metric,259.02,-123.375,180,top
C28,0.1u,C_0402_1005Metric,260.3,-122.3,180,top
C29,0.1u,C_0402_1005Metric,261.55,-121.2,180,top
C30,5600p,C_0402_1005Metric,232.75,-122.575,-90,top
C31,5600p,C_0402_1005Metric,232.825,-119.65,90,top
C32,10u,C_0805_2012Metric,250.925,-122.1,0,top
C33,0.1u,C_0402_1005Metric,250.15,-120.45,0,top
C34,47u,CP_EIA-3528-15_AVX-H,224.6,-114.125,90,top
C35,47u,CP_EIA-3528-15_AVX-H,227.625,-114.125,90,top
C36,220u,CP_EIA-3528-15_AVX-H,244.8,-104.125,180,top
C38,220u,CP_EIA-3528-15_AVX-H,240.725,-110.225,180,top
C39,9p,C_0402_1005Metric,240.64,-123.5,0,top
C40,18p,C_0402_1005Metric,240.655,-122.45,180,top
C41,220u,CP_EIA-3528-15_AVX-H,240.725,-113.25,180,top
C42,220u,CP_EIA-3528-15_AVX-H,233.69,-114.15,90,top
C43,220u,CP_EIA-3528-15_AVX-H,230.67,-114.14,90,top
C44,220u,CP_EIA-3528-15_AVX-H,236.74,-114.1725,90,top
C45,10u,C_0805_2012Metric,225.4,-125.375,0,top
C46,0.1u,C_0402_1005Metric,232.2,-121.125,0,top
C47,0.1u,C_0402_1005Metric,235.605,-136.15,0,top
C48,10u,C_0805_2012Metric,247.475,-136.225,0,top
CN1,MD-90SM_MD2,MD10SM-SS,231.6934,-97.9768,180,top
D1,1N4148W,D_SOD-123,241.825,-126.4,180,top
R1,100k,R_0402_1005Metric,232.44,-139.275,0,top
R2,100k,R_0402_1005Metric,238.675,-139.4,180,top
R3,100k,R_0402_1005Metric,231.9,-137.7,-90,top
R4,100k,R_0402_1005Metric,239.25,-137.725,-90,top
R5,2.2k,R_0402_1005Metric,241.95,-120.85,180,top
R6,5.62k,R_0402_1005Metric,247.85,-121.45,0,top
R7,750,R_0402_1005Metric,236.025,-140.775,0,top
R8,2.2k,R_0402_1005Metric,233.325,-140.7,180,top
R9,5.62k,R_0402_1005Metric,247.85,-122.55,0,top
R10,5.62k,R_0402_1005Metric,247.875,-123.625,0,top
R11,5.62k,R_0402_1005Metric,246.25,-120.475,90,top
R12,5.62k,R_0402_1005Metric,247.325,-119.85,90,top
R13,5.62k,R_0402_1005Metric,245.175,-120.475,90,top
R14,1k,R_0402_1005Metric,248.5,-117.875,-90,top
R15,1k,R_0402_1005Metric,241.925,-118.575,0,top
R16,5.62k,R_0402_1005Metric,244.1,-120.45,90,top
R17,1k,R_0402_1005Metric,241.94,-119.7,0,top
R18,75,R_0402_1005Metric,240.925,-144.175,-90,top
R19,10k,R_0402_1005Metric,225.265,-131.575,180,top
R20,100k,R_0402_1005Metric,227.35,-131.6,180,top
R21,130k,R_0402_1005Metric,229.5,-131.62,180,top
R22,10k,R_0402_1005Metric,241.69,-131.55,0,top
R23,100k,R_0402_1005Metric,243.725,-131.55,0,top
R24,130k,R_0402_1005Metric,245.775,-131.55,0,top
R25,75,R_0402_1005Metric,229.125,-139.29,-90,top
R26,210k,R_0402_1005Metric,229.35,-137.35,0,top
R27,210k,R_0402_1005Metric,233.025,-137.7,90,top
R28,210k,R_0402_1005Metric,238.15,-137.725,90,top
R29,210k,R_0402_1005Metric,242.225,-136.75,180,top
R30,300k,R_0402_1005Metric,233.75,-127.275,180,top
R31,300k,R_0402_1005Metric,237,-127.3,0,top
R32,5.62k,R_0402_1005Metric,240.275,-116.125,90,top
R33,75,R_0402_1005Metric,243.475,-143.825,-90,top
R34,75,R_0402_1005Metric,249.975,-113.4,0,top
R35,75,R_0402_1005Metric,249.975,-112.325,0,top
R36,75,R_0402_1005Metric,249.975,-111.25,0,top
R37,75,R_0402_1005Metric,225.75,-139.3,90,top
R38,21k,R_0402_1005Metric,224.51,-136.19,180,top
R39,30k,R_0402_1005Metric,233.765,-124.175,0,top
R40,30k,R_0402_1005Metric,235.79,-124.175,0,top
R41,21k,R_0402_1005Metric,244.35,-136.7,180,top
R42,5.62k,R_0402_1005Metric,254.775,-130.6,180,top
R43,75,R_0402_1005Metric,256.575,-121.225,0,top
R44,75,R_0402_1005Metric,256.575,-122.3,0,top
R45,30k,R_0402_1005Metric,231.75,-119.675,90,top
R46,75,R_0402_1005Metric,256.55,-123.4,0,top
R47,30k,R_0402_1005Metric,231.725,-122.55,-90,top
R48,100k,R_0402_1005Metric,230.05,-124.85,180,top
R49,100k,R_0402_1005Metric,230.1,-117.8,-90,top
R50,330,R_0402_1005Metric,228.4,-117.475,0,top
R51,330,R_0402_1005Metric,231.675,-117.45,0,top
R52,75,R_0402_1005Metric,246.3,-107.825,90,top
R53,51k,R_0402_1005Metric,226.775,-117.775,90,top
R54,75,R_0402_1005Metric,245.25,-107.8,90,top
R56,75,R_0402_1005Metric,244.175,-107.775,90,top
R57,75,R_0402_1005Metric,237.65,-117.075,180,top
R58,75,R_0402_1005Metric,234.175,-117.075,180,top
R59,75,R_0402_1005Metric,233.575,-118.15,180,top
R60,470,R_0402_1005Metric,240.685,-124.55,0,top
R61,10k,R_0402_1005Metric,246.7,-138.975,0,top
R62,10k,R_0402_1005Metric,246.7,-137.825,180,top
U1,ICS501,SOIC-8_3.9x4.9mm_P1.27mm,258.75,-138.45,180,top
U2,MC33204,TSSOP-14_4.4x5mm_P0.65mm,235.575,-131.7,90,top
U3,THS7374,TSSOP-14_4.4x5mm_P0.65mm,246.05,-112.625,90,top
U4,MC33204,TSSOP-14_4.4x5mm_P0.65mm,227.275,-121.5,180,top
U5,AD725,SOIC-16W_7.5x10.3mm_P1.27mm,256.625,-114.675,90,top
Z1,Conn_01x33_Pin,Molex_502244-3330_1x33-1MP_P0.5mm_Horizontal,243.975,-152.65,0,top
