Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47p,C_0402_1005Metric,170.87136,-101.702574,-90,top
C3,10uF,C_0805_2012Metric,197.83,-135.28,90,top
C4,10uF,C_0805_2012Metric,195.46,-134.34,90,top
C9,47p,C_0402_1005Metric,192.4,-127.1,-90,top
C11,47p,C_0402_1005Metric,192.45,-129.675,-90,top
C12,47p,C_0402_1005Metric,194.425,-126.12,-90,top
C13,47p,C_0402_1005Metric,194.3,-129.695,90,top
C14,10uF,C_0805_2012Metric,196.05,-123.375,90,top
C15,10uF,C_0805_2012Metric,198.025,-123.375,90,top
C19,10uF,C_0805_2012Metric,207.8,-124.8,180,top
C20,10uF,C_0805_2012Metric,207.8,-126.775,180,top
C21,10uF,C_0805_2012Metric,207.8,-128.75,180,top
C22,10uF,C_0805_2012Metric,207.8,-130.725,180,top
C24,10uF,C_0805_2012Metric,210.034721,-115.786388,90,top
C25,10uF,C_0805_2012Metric,203.967145,-117.308123,0,top
C26,10uF,C_0805_2012Metric,206.025684,-114.261229,90,top
C27,10uF,C_0805_2012Metric,208.012328,-113.128003,90,top
C28,10uF,C_0805_2012Metric,171.951528,-126.748422,90,top
C29,10uF,C_0805_2012Metric,173.905907,-126.755799,90,top
C30,10uF,C_0805_2012Metric,196.692242,-131.651364,0,top
C31,10uF,C_0805_2012Metric,189.000947,-107.558261,0,top
C32,0.1uF,C_0805_2012Metric,179.084485,-126.661494,-90,top
C33,0.1uF,C_0805_2012Metric,181.276739,-126.694518,-90,top
C34,10uF,C_0805_2012Metric,175.866931,-126.747924,90,top
C35,5.6nF,C_0402_1005Metric,197.475,-117.85,0,top
C36,5.6nF,C_0402_1005Metric,199.125,-111.025,0,top
C37,10uF,C_0805_2012Metric,200.12399,-118.229313,0,top
C38,5p,C_0805_2012Metric,183.254325,-126.697015,90,top
C39,0.1uF,C_0805_2012Metric,187.995627,-113.788512,0,top
C41,220uF,CP_EIA-3528-15_AVX-H,189.775,-97.425,90,top
C42,47u,C_1206_3216Metric,192.175,-116.425,90,top
C43,47u,C_1206_3216Metric,192.4,-109.15,90,top
C44,47u,C_1206_3216Metric,197.15,-106.9,90,top
C45,220uF,CP_EIA-3528-15_AVX-H,196.665464,-102.8,0,top
C46,220uF,CP_EIA-3528-15_AVX-H,183.835252,-106.885737,180,top
C47,220uF,CP_EIA-3528-15_AVX-H,193.963527,-95.954101,0,top
C48,220uF,CP_EIA-3528-15_AVX-H,193.963709,-99.490978,0,top
C49,7p,C_0402_1005Metric,177.622946,-107.362708,-90,top
C50,12p,C_0402_1005Metric,178.697965,-107.327268,90,top
C51,10uF,C_0805_2012Metric,183.994859,-110.647002,-90,top
C52,10uF,C_0805_2012Metric,186.805052,-111.478272,180,top
C53,0.1uF,C_0805_2012Metric,186.792485,-109.517739,180,top
C54,10uF,C_0805_2012Metric,187.120339,-133.754337,0,top
C55,10uF,C_0805_2012Metric,190.544516,-133.776307,180,top
C56,220uF,CP_EIA-3528-15_AVX-H,189.138108,-125.885015,90,top
CN1,MD-90SM_MD2,MD90SM-MD2,178.929,-104.933,0,top
D2,1N4148W,D_SOD-923,178.073341,-105.888325,180,top
IC1,CXA1645/CXA2075/BH7236AF,CXA2075,178.315163,-118.548265,90,top
L1,100uH,L_0805_2012Metric,182.091509,-110.66792,90,top
R4,47k,R_0402_1005Metric,191.35,-127.1,-90,top
R5,47k,R_0402_1005Metric,193.825,-131.1,0,top
R7,47k,R_0402_1005Metric,193.4,-126.115,90,top
R8,47k,R_0402_1005Metric,193.375,-129.69,-90,top
R15,75,R_0603_1608Metric,214.084197,-132.285858,90,top
R17,75,R_0603_1608Metric,214.017015,-123.969773,90,top
R21,2.2k,R_0402_1005Metric,209.209703,-122.168429,90,top
R22,22k,R_0402_1005Metric,209.234703,-120.143429,-90,top
R23,2.2k,R_0402_1005Metric,202.6,-122.74,-90,top
R24,22k,R_0402_1005Metric,202.575,-120.49,-90,top
R25,6.2k,R_0402_1005Metric,198.94,-131.67,90,top
R26,36k,R_0603_1608Metric,204.623677,-124.897246,180,top
R27,51k,R_0402_1005Metric,205.1,-126.925,180,top
R28,51k,R_0402_1005Metric,205.146609,-127.996528,180,top
R29,36k,R_0603_1608Metric,205.360966,-129.978158,-90,top
R30,15k,R_0402_1005Metric,213.5,-126.375,90,top
R31,47k,R_0402_1005Metric,203.7,-126.46,90,top
R32,47k,R_0402_1005Metric,203.75,-129.34,-90,top
R33,3.6k,R_0603_1608Metric,214.791347,-129.933509,0,top
R34,820,R_0603_1608Metric,216.41333,-128.430495,0,top
R35,20k,R_0603_1608Metric,179.763376,-111.500185,180,top
R36,2.2k,R_0402_1005Metric,186.31197,-125.539302,180,top
R37,5.6k,R_0603_1608Metric,170.949253,-132.403464,0,top
R38,5.6k,R_0603_1608Metric,174.00195,-132.372146,180,top
R39,7.5k,R_0603_1608Metric,203.549375,-114.509948,180,top
R40,10k,R_0402_1005Metric,202.8,-115.8,180,top
R41,10k,R_0402_1005Metric,202.725,-113.2,180,top
R42,7.5k,R_0603_1608Metric,203.173415,-111.952655,180,top
R44,6.2k,R_0402_1005Metric,198.125349,-133.102444,180,top
R45,82k,R_0603_1608Metric,175.214595,-109.043388,0,top
R46,10k,R_0402_1005Metric,199.095,-110.075,0,top
R47,10k,R_0402_1005Metric,197.45,-118.775,0,top
R48,10k,R_0402_1005Metric,195.375,-118.8,180,top
R49,10k,R_0402_1005Metric,196.75,-111.05,0,top
R52,4.7k,R_0402_1005Metric,192.5,-113.04,90,top
R53,330,R_0402_1005Metric,195.375,-119.975,180,top
R54,330,R_0402_1005Metric,191.25,-113.05,90,top
R55,330,R_0402_1005Metric,196.75,-110.05,180,top
R56,5.6k,R_0603_1608Metric,176.963382,-132.371704,0,top
