Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,175.05,-117.95,90,top
C2,0.1u,C_0402_1005Metric,173.35,-118.42,90,top
C3,10u,C_0805_2012Metric,197.83,-134.33,90,top
C4,10u,C_0805_2012Metric,195.46,-134.34,90,top
C5,22n,C_0402_1005Metric,182.015964,-126.970167,90,top
C6,1n,C_0402_1005Metric,171.89,-119.18,180,top
C7,22n,C_0402_1005Metric,174.01,-128.05,0,top
C8,0.1u,C_0402_1005Metric,177.31,-117.11,0,top
C9,47p,C_0402_1005Metric,192.4,-127.1,-90,top
C10,10u,C_0805_2012Metric,177.78,-118.7,0,top
C11,47p,C_0402_1005Metric,192.45,-129.675,-90,top
C12,47p,C_0402_1005Metric,194.425,-126.12,-90,top
C13,47p,C_0402_1005Metric,194.3,-129.695,90,top
C14,10u,C_0805_2012Metric,196.05,-123.375,90,top
C15,10u,C_0805_2012Metric,198.025,-123.375,90,top
C16,0.1u,C_0402_1005Metric,193.0875,-123.45,180,top
C17,0.1u,C_0402_1005Metric,193.0875,-122.53,180,top
C18,0.1u,C_0402_1005Metric,193.0875,-121.61,180,top
C19,10u,C_0805_2012Metric,207.8,-124.8,180,top
C20,10u,C_0805_2012Metric,207.8,-126.775,180,top
C21,10u,C_0805_2012Metric,207.8,-128.75,180,top
C22,10u,C_0805_2012Metric,207.8,-130.725,180,top
C23,0.01u,C_0402_1005Metric,175.753296,-129.064208,0,top
C24,10u,C_0805_2012Metric,208.050662,-116.236633,90,top
C25,10u,C_0805_2012Metric,203.572567,-117.738003,0,top
C26,10u,C_0805_2012Metric,205.600662,-114.011633,90,top
C27,10u,C_0805_2012Metric,208.050662,-112.836633,90,top
C28,0.1u,C_0402_1005Metric,182.521815,-123.674191,180,top
C29,10u,C_0805_2012Metric,182.544235,-121.52185,-90,top
C30,0.1u,C_0402_1005Metric,196.55,-131.15,0,top
C31,0.1u,C_0402_1005Metric,188.55,-105.925,0,top
C32,0.1u,C_0402_1005Metric,185.09,-108.52,180,top
C33,0.1u,C_0402_1005Metric,185.11,-107.23,180,top
C34,0.1u,C_0402_1005Metric,185.125,-105.975,180,top
C35,5600p,C_0402_1005Metric,197.475,-117.85,0,top
C36,5600p,C_0402_1005Metric,199.125,-111.025,0,top
C37,0.1u,C_0402_1005Metric,199.57,-117.975,0,top
C38,10u,C_0805_2012Metric,187.801676,-111.277738,180,top
C39,0.1u,C_0402_1005Metric,187.005813,-112.715431,180,top
C41,220u,CP_EIA-3528-15_AVX-H,189.775,-97.425,90,top
C42,47u,C_1206_3216Metric,192.175,-116.425,90,top
C43,47u,C_1206_3216Metric,192.4,-109.15,90,top
C44,47u,C_1206_3216Metric,197.15,-106.9,90,top
C45,220u,CP_EIA-3528-15_AVX-H,196.475,-102.8,0,top
C46,220u,CP_EIA-3528-15_AVX-H,193.894953,-96.035241,0,top
C47,220u,CP_EIA-3528-15_AVX-H,193.934188,-99.338485,0,top
C48,220u,CP_EIA-3528-15_AVX-H,171.275,-102.525,90,top
C49,7p,C_0402_1005Metric,171.64,-108.56,-90,top
C50,12p,C_0402_1005Metric,170.71,-108.56,90,top
C54,10uF,C_0805_2012Metric,190.264255,-130.826439,90,top
C55,10uF,C_0805_2012Metric,179.186731,-128.643255,180,top
C56,220uF,CP_EIA-3528-15_AVX-H,186.764264,-130.222929,-90,top
CN1,MD-90SM_MD2,MD90SM-MD2,178.929,-104.933,0,top
D1,1N4148W,D_SOD-923,182.925228,-126.860557,90,top
D2,1N4148W,D_SOD-923,170.96,-106.84,0,top
L1,100uH,L_0805_2012Metric,171.37,-110.332275,180,top
R1,4.7k,R_0402_1005Metric,182.498149,-125.548147,0,top
R2,10k,R_0402_1005Metric,171.92,-118.19,0,top
R3,10k,R_0402_1005Metric,175.97,-128.04,180,top
R4,47k,R_0402_1005Metric,191.861088,-125.597715,180,top
R5,47k,R_0402_1005Metric,193.825,-131.1,0,top
R6,2.2k,R_0402_1005Metric,171.27,-128.68,0,top
R7,47k,R_0402_1005Metric,193.4,-126.115,90,top
R8,47k,R_0402_1005Metric,193.375,-129.69,-90,top
R9,5.6k,R_0603_1608Metric,185.67713,-126.168911,90,top
R10,5.6k,R_0603_1608Metric,187.134444,-126.168911,90,top
R11,5.6k,R_0603_1608Metric,188.600816,-126.16258,90,top
R12,5.6k,R_0603_1608Metric,190.207413,-128.363756,0,top
R13,5.6k,R_0603_1608Metric,184.212343,-126.168911,90,top
R14,5.6k,R_0603_1608Metric,190.054393,-126.126459,90,top
R15,75,R_0603_1608Metric,214.697873,-132.177633,0,top
R16,1k,R_0402_1005Metric,195.400807,-121.043428,180,top
R17,75,R_0603_1608Metric,214.763265,-124.04657,0,top
R18,1k,R_0402_1005Metric,192.28153,-131.647988,90,top
R19,1k,R_0402_1005Metric,192.32,-134.31,90,top
R20,10k,R_0402_1005Metric,182.503131,-124.599024,180,top
R21,2.2k,R_0402_1005Metric,209.725,-122.46,90,top
R22,22k,R_0402_1005Metric,209.75,-120.435,-90,top
R23,2.2k,R_0402_1005Metric,202.6,-122.74,-90,top
R24,22k,R_0402_1005Metric,202.575,-120.49,-90,top
R25,22k,R_0402_1005Metric,198.935017,-131.650071,90,top
R26,36k,R_0603_1608Metric,204.618559,-125.141974,180,top
R27,51k,R_0402_1005Metric,205.1,-126.925,180,top
R28,51k,R_0402_1005Metric,205.15,-128.875,180,top
R29,36k,R_0603_1608Metric,204.539253,-130.878458,180,top
R30,15k,R_0402_1005Metric,213.773039,-125.724349,90,top
